Absolute Magnitude,Est Dia in KM(min),Relative Velocity km per sec,Miss Dist.(kilometers),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,hazardous
26.2,0.015295194,7.92636157,24354582,12,6,0.00634687,5.537,2458000.5,0.119756633,6.507326871,242.5828956,436.7713817,0.991683894,318.5163366,1.261520006,2458071.889,301.1588143,0.824229826,0
20.8,0.183888672,19.66727897,54831432,19,1,0.113249,6.447,2458000.5,0.299153918,21.03334898,87.57392832,318.4950216,0.639674145,23.616922,1.185759888,2458072.706,278.3844048,1.130315941,0
19.6,0.319561887,18.33270757,53124064,72,0,0.014981,5.208,2458000.5,0.234770561,27.42934757,91.29622834,472.406822,0.908385427,58.30311252,1.465766379,2457814.668,141.6139707,0.762055041,1
20.616,0.200149715,17.48135593,48423144,5,5,0.317486,5.612,2458000.5,0.405478939,29.97955176,280.3174925,400.0933971,0.63174607,202.1321893,1.493480811,2458183.942,194.9409037,0.899789906,0
17.5,0.840533402,16.12549274,45024036,253,0,0.0636542,3.367,2458000.5,0.548401882,3.246143241,213.2863018,1279.647443,1.041709746,98.03956329,3.571727313,2457601.275,112.3129187,0.281327487,0
22,0.105816886,13.47523501,9816599,17,7,0.0589302,5.364,2458000.5,0.309772347,20.0186282,268.096334,450.5844479,0.79392145,70.13595363,1.506541146,2458052.234,318.6663284,0.798962329,0
23,0.066765941,4.331719159,14103325,11,5,0.0949569,4.633,2458000.5,0.231820931,7.096661498,253.4295183,630.1041683,1.104939299,18.9283631,1.771836034,2458088.209,309.8889443,0.571334103,0
21.5,0.133215567,16.93829897,46137780,50,4,0.0738937,3.5,2458000.5,0.526147419,4.440911302,237.8567753,1161.115304,1.024458882,78.24190435,3.299497229,2458038.03,348.3639763,0.310046727,0
16.5,1.332155667,13.11454201,6895954,75,0,0.0436453,7.557,2458000.5,0.339979716,24.92729628,272.692819,238.7538758,0.497117004,156.6239373,1.009251863,2458103.876,204.1265053,1.507828925,1
20.2,0.242412481,11.0655789,73181936,38,0,0.0270542,5.556,2458000.5,0.461492035,18.28352143,246.7509553,414.0263439,0.585434749,256.0421444,1.588849709,2458057.799,310.1782421,0.869509888,1
27.1,0.010105434,12.55217618,18219530,14,1,0.00108035,6.997,2458000.5,0.388447279,5.059664077,166.1544806,276.5583359,0.50803401,319.7961989,1.153422125,2458016.803,338.7787407,1.301714515,0
27.2,0.009650615,12.52653474,55870700,7,7,0.00396247,6.385,2458000.5,0.360124157,0.49522171,323.4926065,327.4496188,0.594921626,264.2658161,1.264569188,2458072.033,281.3559795,1.099405769,0
21.571,0.128930295,12.83532762,47410376,4,5,0.119136,4.491,2458000.5,0.294842974,6.801303326,56.16673209,670.0460779,1.056712065,259.3072848,1.940385108,2457965.064,19.03910494,0.537276483,0
18.7,0.483676488,24.36345562,67884888,121,0,0.00197078,4.054,2458000.5,0.492126625,7.839116849,326.9024686,806.0180024,0.860834483,233.0557394,2.529122644,2457919.652,36.11013318,0.446640148,1
20.6,0.201629919,8.953169059,20690156,67,0,0.0355235,6.454,2456346.5,0.412094837,5.208499322,205.242573,319.0893041,0.537258325,211.1301077,1.290445731,2456372.826,330.2984546,1.128210803,1
18.1,0.63760979,15.59463771,57920168,45,0,0.243876,3.776,2458000.5,0.392904405,19.80151512,90.67146973,962.0227782,1.157839515,235.8207926,2.656516987,2457630.109,138.6044237,0.374211514,0
19.5,0.334622375,31.60773533,61771396,26,0,0.00803028,3.594,2458000.5,0.537495151,38.50091553,124.7942813,922.4128708,0.857697693,237.7160546,2.851226417,2458244.068,264.9401354,0.390280764,1
18.7,0.483676488,32.18140575,35621844,34,0,0.22291,5.289,2458000.5,0.79075696,43.56115448,276.4541322,401.1636849,0.222740818,160.1054368,1.906274498,2457979.537,18.81210234,0.897389304,0
18.7,0.483676488,32.18140589,35621840,37,0,0.22291,5.289,2458000.5,0.790756969,43.56115504,276.4541315,401.163685,0.222740809,160.1054356,1.906274507,2457979.537,18.81210291,0.897389304,0
20.1,0.253837029,18.51752548,48037404,28,0,0.14088,4.574,2457600.5,0.247696643,37.22407109,106.1303161,589.8473138,1.035508781,244.0632687,1.717393412,2457658.844,324.390888,0.610327438,0
20.1,0.253837029,31.12855633,71772336,26,1,0.00799405,3.918,2458000.5,0.607312702,0.920945054,317.3928578,833.9171826,0.680868408,228.7276848,2.786869979,2458218.506,265.8872187,0.431697544,1
20.2,0.242412481,18.51751945,48037648,32,0,0.141147,4.574,2458000.5,0.247647176,37.22279207,106.124859,589.8797848,1.035614874,244.0608254,1.717388349,2458248.697,208.5269511,0.610293842,0
19.7,0.305179233,26.34786713,55637000,38,1,0.200346,3.568,2458000.5,0.436416168,40.75589996,296.3182957,953.2466222,1.068307863,56.5605408,2.722815307,2457581.929,158.076077,0.377656728,0
16.7,1.214940408,20.29179925,60871124,94,0,0.256265,3.427,2458000.5,0.707411423,15.95128044,168.5299865,1045.873933,0.589989988,167.1005289,3.442908314,2458304.369,255.405256,0.344209745,0
17.9,0.699125232,15.34221967,66316588,60,0,0.0451383,5.169,2458000.5,0.2780788,30.12254061,292.475757,473.8962657,0.858775611,84.2046886,1.520363859,2458067.793,308.879961,0.759659922,1
23.7,0.048367649,9.830749452,48873616,7,6,0.0752783,6.424,2458000.5,0.222717159,13.08284558,359.7151699,325.138229,0.719270342,330.5650247,1.131459673,2458031.559,325.6108651,1.107221384,0
20.3,0.231502122,15.41407222,72039488,13,2,0.0449381,7.609,2458000.5,0.271073411,19.19763083,358.6587801,238.2636732,0.54826442,347.462346,0.956041852,2458042.556,296.4561445,1.510931126,1
20.7,0.192555078,14.69930803,44574208,75,0,0.143015,4.911,2458000.5,0.249441069,14.9755113,119.3113638,547.6746556,0.983258271,267.3785245,1.636811201,2458217.785,217.1735398,0.657324556,0
17.5,0.840533402,21.25585067,45663968,55,0,0.0197173,3.356,2458000.5,0.574960298,16.14284854,116.8191316,1222.472485,0.951020639,139.3276944,3.523952572,2458453.145,226.7028231,0.294485156,1
20.3,0.231502122,19.8486346,72342576,30,0,0.122189,4.593,2458000.5,0.256806994,37.36069361,118.9617954,584.1327857,1.016350997,305.8884069,1.718742012,2458225.754,221.1766294,0.616298227,0
24.1,0.040230458,9.509879717,5849801.5,15,6,0.00335624,6.997,2458000.5,0.407319308,1.914256662,243.0519125,276.2594286,0.492001659,213.6346689,1.168257114,2458037.143,312.250296,1.303122944,0
22,0.105816886,16.06106628,73313632,22,1,0.013789,6.449,2458000.5,0.514665143,8.805309987,211.1157355,315.0609542,0.43978349,44.63381586,1.372505423,2458106.755,238.5895015,1.142636037,1
27.8,0.00732074,20.48445425,66852456,9,6,0.00229906,4.988,2458000.5,0.296916945,3.648952369,177.7237953,534.0492686,0.905722653,54.57036919,1.670708811,2458044.555,330.3027266,0.674095109,0
25.8,0.018388867,19.53492824,54720140,4,6,0.0041285,4.906,2458000.5,0.314229057,27.79521315,334.352604,527.1805463,0.875829788,239.4568281,1.678462713,2457812.928,128.0888493,0.682878006,0
20.5,0.211132445,13.20166038,66886804,57,1,0.154706,6.085,2458000.5,0.540517802,11.22419548,128.2836975,348.0691375,0.444952259,358.5166597,1.491802904,2458091.375,266.0102798,1.034277278,0
21,0.167708462,24.36755481,64415952,17,2,0.164167,5.751,2458000.5,0.592063725,22.48814426,64.94457277,377.4031966,0.416930587,27.71113556,1.627166066,2457920.96,75.8722848,0.953886992,0
20.5,0.211132445,14.24794319,29983460,19,2,0.0640277,6.754,2458000.5,0.247892802,14.07363263,303.6194514,296.0111168,0.6537617,241.2457182,1.084718406,2457852.557,179.924266,1.216170541,0
26.5,0.013321557,15.4970038,43464572,7,7,0.0200872,6.076,2458000.5,0.194466804,12.93289525,107.3080061,361.3420617,0.799767043,105.9025699,1.185916592,2457830.559,169.3102929,0.996285897,0
19.2,0.384197891,19.88515963,33564184,39,2,0.180276,3.715,2458000.5,0.636478826,12.09592,242.808322,917.4874872,0.671734305,165.6231304,3.023975065,2458249.852,262.1602702,0.392375923,0
18.3,0.58150704,3.631631329,36989136,101,0,0.120423,4.57,2458000.5,0.275645196,7.559174,122.4573311,645.4180589,1.058716794,249.7394136,1.864482687,2457753.756,137.6282213,0.557778009,0
18.8,0.46190746,10.6702067,70651280,78,0,0.236062,4.729,2458000.5,0.184342662,21.21089365,137.0475227,588.0639207,1.120448295,101.1889164,1.626902197,2458050.991,329.0904802,0.612178349,0
24.7,0.030517923,19.64827271,70551696,13,3,0.0285671,5.865,2458000.5,0.203051046,4.222235016,146.2448747,388.8479514,0.830905112,296.93581,1.254310277,2458180.936,192.9503264,0.925811744,0
24.4,0.035039264,15.82831923,49979660,3,6,0.00908397,7.176,2458000.5,0.362341282,14.95651571,206.1288496,263.5703437,0.51300356,327.9460141,1.096018776,2458032.74,315.9645924,1.36585928,0
21.2,0.152951935,12.8466218,62941832,23,1,0.138005,5.122,2458000.5,0.172750556,25.78403061,157.2242453,492.6678434,1.009889082,76.36357281,1.431669723,2458195.525,217.4920488,0.73071544,0
19.3,0.366906138,20.98692105,71921168,42,1,0.0261387,4.943,2457600.5,0.245349287,34.84177629,149.9465217,510.4311345,0.943275324,309.258656,1.556623789,2457720.011,275.7103215,0.705286131,1
18.2,0.608912622,13.64081603,26301152,15,4,0.183099,2.929,2458000.5,0.58662393,22.63213585,342.2124259,1764.550426,1.181324189,14.05256967,4.534169641,2458761.988,204.6427293,0.204017972,0
25,0.02658,1.444412563,16750804,16,4,0.0448509,5.397,2458000.5,0.108415164,2.294234819,7.634139745,460.9646443,1.041219117,19.27899905,1.294439981,2457870.114,101.8278746,0.780970958,0
19.3,0.366906138,20.98684799,71920712,51,0,0.0287566,4.943,2458000.5,0.245382733,34.84082309,149.942227,510.3805389,0.943171187,309.2546883,1.556562725,2458230.388,197.8474532,0.705356048,1
23,0.066765941,12.19944446,51441896,5,6,0.0896811,4.56,2458000.5,0.311335293,13.21059097,270.8048443,639.493833,1.000383337,127.8868226,1.904900836,2457684.268,178.0213353,0.562945225,0
19.9,0.278326768,21.82359578,65705832,20,2,0.0703769,3.725,2458000.5,0.690417545,4.629447664,153.6329594,889.4630304,0.560354232,204.5057853,3.059710299,2457982.891,7.126982341,0.404738576,0
19.5,0.334622375,15.51968958,63934848,33,0,0.229332,5.34,2458000.5,0.554230336,24.46689441,191.2527124,434.2414279,0.500263781,29.44391573,1.744230727,2458125.674,256.2265858,0.829031909,0
24.8,0.029144391,5.772196918,60424960,29,5,0.0378689,5.004,2458000.5,0.188922652,0.976628312,45.26691336,536.8415168,1.048481369,190.6591072,1.536922777,2457869.144,88.08560387,0.67058897,0
26.692,0.012194247,5.985693748,30038752,7,3,0.00138825,6.015,2458000.5,0.264053886,1.811674081,185.8691791,369.1749337,0.741199644,100.323037,1.273077299,2457910.969,87.30597168,0.975147463,0
